"com_name","com_code","nat"
"Aast","64001",285.7312520924
"Abainville","55001",327.793713105077
"Abancourt","59001",250.266872673643
"Abancourt","60001",273.945176171692
"Abaucourt","54001",286.370010623767
"Abaucourt-Hautecourt","55002",283.164362010433
"Abbans-Dessous","25001",356.274254199047
"Abbans-Dessus","25002",352.584144144144
"Abbaretz","44001",296.837243789371
"Abbecourt","60002",287.823734635822
"Abbécourt","02001",284.024238782051
"Abbenans","25003",399.852167456333
"Abbeville","80001",248.184210526316
"Abbéville-la-Rivière","91001",274.329569306799
"Abbéville-lès-Conflans","54002",328.248578968737
"Abbeville-Saint-Lucien","60003",267.28593052297
"Abbévillers","25004",380.532782191683
"Abeilhan","34001",324.509380243022
"Abelcourt","70001",433.2267687434
"Abère","64002",330.36880059868
"Abergement-la-Ronce","39001",314.623436619718
"Abergement-le-Grand","39002",340.511492051331
"Abergement-le-Petit","39003",344.852079744032
"Abergement-lès-Thésy","39004",328.900173160173
"Abidos","64003",287.815467943066
"Abilly","37001",298.937736367562
"Abitain","64004",336.160636758321
"Abjat-sur-Bandiat","24001",416.29212232518
"Ablain-Saint-Nazaire","62001",322.394543925009
"Ablaincourt-Pressoir","80002",238.127189482085
"Ablainzevelle","62002",254.753611033454
"Ablancourt","51001",277.761526854077
"Ableiges","95002",270.657399550786
"Ablis","78003",264.375917924917
"Ablon","14001",302.561937419631
"Ablon-sur-Seine","94001",177.091884161602
"Aboën","42001",363.21046277666
"Aboncourt","54003",296.376185519315
"Aboncourt","57001",367.832085998095
"Aboncourt-Gesincourt","70002",321.010690389863
"Aboncourt-sur-Seille","57002",292.879468732706
"Abondance","74001",487.304313479795
"Abondant","28001",412.20880197828
"Abos","64005",328.620067269885
"Abreschviller","57003",513.933401103689
"Abrest","03001",300.51900941751
"Abriès-Ristolas","05001",544.872472426471
"Abscon","59002",244.90821309047
"Abzac","16001",342.626551996364
"Abzac","33001",315.471181599072
"Accolans","25005",399.574882935442
"Accons","07001",476.04341894061
"Accous","64006",537.006800697914
"Achain","57004",264.442378559464
"Achen","57006",294.006449896935
"Achenheim","67001",231.060344827586
"Achères","18001",370.423243792117
"Achères","78005",234.542699840296
"Achères-la-Forêt","77001",319.337784262108
"Achery","02002",279.36036036036
"Acheux-en-Amiénois","80003",277.379891664824
"Acheux-en-Vimeu","80004",260.093126170941
"Acheville","62003",241.566108732321
"Achey","70003",339.054480041117
"Achicourt","62004",202.114502771884
"Achiet-le-Grand","62005",243.91984643109
"Achiet-le-Petit","62006",268.060279222557
"Achun","58001",348.824099902692
"Achy","60004",335.783888190955
"Acigné","35001",286.077651766078
"Aclou","27001",272.245170242288
"Acon","27002",332.854722593439
"Acq","62007",251.252451990439
"Acquigny","27003",371.703129202905
"Acquin-Westbécourt","62008",287.3536121673
"Acy","02003",306.641890254457
"Acy-en-Multien","60005",302.830946059251
"Acy-Romance","08001",256.433030708576
"Adaincourt","57007",332.653524773449
"Adainville","78006",368.937102473498
"Adam-lès-Passavant","25006",356.222506823431
"Adam-lès-Vercel","25007",358.648884329315
"Adamswiller","67002",298.176415535798
